Week 1,,,,,,,,,Week 1,,,,,,,,,,Week 1,,,,,
,,,,,,,,,Final Score,,,,,,,,,,,,,,,
,,,,,,,,,9-6,,,,,,,,,,,,,,,
Shirts,K,A,D,ADR,DMG,Rounds,Rounds Won,Win,,Skins,K,A,D,ADR,DMG,Rounds,Rounds Won,Win,,Shirts Ban,Skins Ban 1,Skins Ban 2,Shirts Pick,Skins Side
Zach,8,3,6,66,990,15,9,1,,Andrew,2,3,13,38,570,15,6,0,,Brewery,Assembly,Vandal,Foroglio,CT
Adam,16,1,4,107,1605,15,9,1,,Sean,8,1,12,59,885,15,6,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Final Score,,,,,,,,,,,,,,,
,,,,,,,,,9-7,,,,,,,,,,,,,,,
Shirts,K,A,D,ADR,DMG,Rounds,Rounds Won,Win,,Skins,K,A,D,ADR,DMG,Rounds,Rounds Won,Win,,Shirts Ban,Skins Ban 1,Skins Ban 2,Shirts Pick,Skins Side
Brian,8,1,11,42,672,16,9,1,,Eric,7,2,12,66,1056,16,7,0,,Foroglio,Vandal,Brewery,Assembly,T
Dan,13,4,9,98,1568,16,9,1,,Zach,13,2,9,90,1440,16,7,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Week 2,,,,,,,,,Week 2,,,,,,,,,,Week 2,,,,,
,,,,,,,,,Final Score,*sean biffed the server at a tie game 5-5,,,,,,,,,,,,,,
,,,,,,,,,9-4,,,,,,,,,,,,,,,
Shirts,K,A,D,ADR,DMG,Rounds,Rounds Won,Win,,Skins,K,A,D,ADR,DMG,Rounds,Rounds Won,Column 6,,Shirts Ban,Skins Ban 1,Skins Ban 2,Shirts Pick,Skins Side
Sean,17,1,5,131,1703,13,9,1,,Brian,6,0,11,54,702,13,4,0,,Foroglio,Brewery,Vandal,Palais,CT
Andrew,4,1,9,45,585,13,9,1,,Zach,7,1,10,66,858,13,4,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Final Score,"*server was biffed by the team that ended up losing, decided to not double or nothing",,,,,,,,,,,,,,
,,,,,,,,,8-11,,,,,,,,,,,,,,,
Shirts,K,A,D,ADR,DMG,Rounds,Rounds Won,Win,,Skins,K,A,D,ADR,DMG,Rounds,Rounds Won,Column 9,,Shirts Ban,Skins Ban 1,Skins Ban 2,Shirts Pick,Skins Side
Dan,13,1,12,77,1463,19,8,0,,Sean,16,2,10,83,1577,19,11,1,,Foroglio,Assembly,Brewery,Vandal,T
Eric,8,3,11,58,1102,19,8,0,,Adam,7,7,11,64,1216,19,11,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Week 3,,,,,,,,,Week 3,,,,,,,,,,Week 3,,,,,
,,,,,,,,,Final Score,,,,,,,,,,,,,,,
,,,,,,,,,4-9,,,,,,,,,,,,,,,
Shirts,K,A,D,ADR,DMG,Rounds,Rounds Won,Win,,Skins,K,A,D,ADR,DMG,Rounds,Rounds Won,Win,,Shirts Ban,Skins Ban 1,Skins Ban 2,Shirts Pick,Skins Side
Eric,7,2,10,55,715,13,4,0,,Dan,9,3,8,92,1196,13,9,1,,Palais,Vandal,Foroglio,Brewery,CT
Brian,7,1,11,72,936,13,4,0,,Adam,12,3,6,92,1196,13,9,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Final Score,,,,,,,,,,,,,,,
,,,,,,,,,9-5,,,,,,,,,,,,,,,
Shirts,K,A,D,ADR,DMG,Rounds,Rounds Won,Win,,Skins,K,A,D,ADR,DMG,Rounds,Rounds Won,Win,,Shirts Ban,Skins Ban 1,Skins Ban 2,Shirts Pick,Skins Side
Eric,9,2,5,71,994,14,9,1,,Zach,7,1,9,56,784,14,5,0,,Foroglio,Assembly,Vandal,Brewery,T
Sean,12,4,6,98,1372,14,9,1,,Andrew,4,3,12,53,742,14,5,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Week 4,,,,,,,,,Week 4,,,,,,,,,,Week 4,,,,,
,,,,,,,,,Final Score,,,,,,,,,,,,,,,
,,,,,,,,,9-0,,,,,,,,,,,,,,,
Shirts,K,A,D,ADR,DMG,Rounds,Rounds Won,Win,,Skins,K,A,D,ADR,DMG,Rounds,Rounds Won,Win,,Shirts Ban,Skins Ban 1,Skins Ban 2,Shirts Pick,Skins Side
Brian,7,0,4,118,1062,9,9,1,,Eric,5,0,9,80,720,9,0,0,,Foroglio,Assembly,Vandal,Brewery,CT
Dan,11,0,1,80,720,9,9,1,,Andrew,0,1,9,35,315,9,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Final Score,,,,,,,,,,,,,,,
,,,,,,,,,9-5,,,,,,,,,,,,,,,
Shirts,K,A,D,ADR,DMG,Rounds,Rounds Won,Win,,Skins,K,A,D,ADR,DMG,Rounds,Rounds Won,Win,,Shirts Ban,Skins Ban 1,Skins Ban 2,Shirts Pick,Skins Side
Sean,11,2,7,86,1204,14,9,1,,Adam,7,3,10,72,1008,14,5,0,,Foroglio,Assembly,Vandal,Palais,T
Zach,9,3,6,75,1050,14,9,1,,Brian,6,2,11,43,602,14,5,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Week 5,,,,,,,,,Week 5,,,,,,,,,,Week 5,,,,,
,,,,,,,,,Final Score,,,,,,,,,,,,,,,
,,,,,,,,,7-9,,,,,,,,,,,,,,,
Shirts,K,A,D,ADR,DMG,Rounds,Rounds Won,Win,,Skins,K,A,D,ADR,DMG,Rounds,Rounds Won,Win,,Shirts Ban,Skins Ban 1,Skins Ban 2,Shirts Pick,Skins Side
Dan,13,1,10,89,1424,16,7,0,,Sean,15,3,9,87,1392,16,9,1,,Palais,Foroglio,Brewery,Assembly,CT
Eric,5,4,13,48,768,16,7,0,,Brian,8,5,9,72,1152,16,9,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Final Score,,,,,,,,,,,,,,,
,,,,,,,,,9-2,,,,,,,,,,,,,,,
Shirts,K,A,D,ADR,DMG,Rounds,Rounds Won,Win,,Skins,K,A,D,ADR,DMG,Rounds,Rounds Won,Win,,Shirts Ban,Skins Ban 1,Skins Ban 2,Shirts Pick,Skins Side
Zach,10,2,4,97,1067,11,9,1,,Andrew,3,2,9,36,396,11,2,0,,Brewery,Vandal,Assembly,Foroglio,T
