/,Kills,Assists,Deaths,Total Damage,ADR,Kill Diff.,,,,,,Category,Leader,Value
Adam,106,28,82,12667,84,+24,,,,,,Kills,Dan,142
Andrew,57,17,115,8158,55,-58,,,,,,Assists,Adam,28
Brian,108,19,95,11622,75,+13,,,,,,Least Deaths,Dan,69
Dan,142,21,69,15101,98,+73,,,,,,K/D,Dan,2.06
Emanuel,40,14,120,5789,38,-80,,,,,,Most Rounds Played,Brian,156
Keng,99,11,90,10960,74,+9,,,,,,Least Rounds Played,Sean,141
Sean,101,21,80,12171,86,+21,,,,,,Best Round WR%,Dan,62.99%
Tim,54,20,106,7021,47,-52,,,,,,Most Damage,Dan,15101
Zach,126,18,83,13485,88,+43,,,,,,Most Dmg/Game,Dan,1887.6
,,,,,,,,,,,,Best ADR,Dan,98
,,,,,,,,,,,,Longest Avg Game,Brian,19.5
Name,K/D,Dmg/Kill,Kills/Round,Assists/Round,Deaths/Round,Kills/Win,Deaths/Win,Kills/Loss,Deaths/Loss,,,,,
Dan,2.06,106.35,0.92,0.14,0.45,17.8,7.0,17.5,13.5,,,,,
Zach,1.52,107.02,0.82,0.12,0.54,16.8,9.3,12.5,13.5,,,,,
Sean,1.26,120.50,0.72,0.15,0.57,15.0,7.8,8.7,13.7,,,,,
Adam,1.29,119.50,0.70,0.19,0.54,14.4,8.0,11.3,14.0,,,,,
Brian,1.14,107.61,0.69,0.12,0.61,14.4,10.0,12.0,15.0,,,,,
Keng,1.10,110.71,0.66,0.07,0.60,11.8,8.8,13.0,13.8,,,,,
Andrew,0.50,143.12,0.38,0.11,0.77,8.0,11.0,7.0,14.9,,,,,
Tim,0.51,130.02,0.36,0.14,0.72,9.3,10.7,5.2,14.8,,,,,
Emanuel,0.33,144.73,0.26,0.09,0.78,8.0,13.0,4.6,15.3,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Name,Games,Wins,Losses,WR %,Round WR %,Rounds Won,Rounds Lost,Rounds Played,,,Place,Player,WR,Round WR
Dan,8,6,2,75.00%,62.99%,97,57,154,,,1,Dan,75.00%,62.99%
Zach,8,6,2,75.00%,59.09%,91,63,154,,,2,Zach,75.00%,59.09%
Adam,8,5,3,62.50%,54.30%,82,69,151,,,3,Adam,62.50%,54.30%
Brian,8,5,3,62.50%,53.85%,84,72,156,,,4,Sean,62.50%,53.90%
Sean,8,5,3,62.50%,53.90%,76,65,141,,,5,Brian,62.50%,53.85%
Keng,8,4,4,50.00%,53.69%,80,69,149,,,6,Keng,50.00%,53.69%
Tim,8,3,5,37.50%,41.89%,62,86,148,,,7,Tim,37.50%,41.89%
Andrew,8,1,7,12.50%,33.56%,50,99,149,,,8,Emanuel,12.50%,36.36%
Emanuel,8,1,7,12.50%,36.36%,56,98,154,,,9,Andrew,12.50%,33.56%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Name,Kill Diff/Game,Dmg/Game,Round Diff/Game,Rounds/Game,Rounds Won/Game,Rounds Lost/Game,Kills/Game,Assists/Game,Deaths/Game,,,,,
Adam,+3,1583.4,1.63,18.9,10.3,8.6,13.25,3.50,10.25,,,,,
Andrew,-7,1019.8,-6.13,18.6,6.3,12.4,7.13,2.13,14.38,,,,,
Brian,+2,1452.8,1.50,19.5,10.5,9.0,13.50,2.38,11.88,,,,,
Dan,+9,1887.6,5.00,19.3,12.1,7.1,17.75,2.63,8.63,,,,,
Emanuel,-10,723.6,-5.25,19.3,7.0,12.3,5.00,1.75,15.00,,,,,
Keng,+1,1370.0,1.38,18.6,10.0,8.6,12.38,1.38,11.25,,,,,
Sean,+3,1521.4,1.38,17.6,9.5,8.1,12.63,2.63,10.00,,,,,
Tim,-7,877.6,-3.00,18.5,7.8,10.8,6.75,2.50,13.25,,,,,
Zach,+5,1685.6,3.50,19.3,11.4,7.9,15.75,2.25,10.38,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Map,Pick,Ban,Not Picked,CT Picked,T Picked,Picked & Won,,Side,Picked,Wins/pick,Loss/Pick,,,
Assembly,2,13,3,0,2,1,,CT,4,3,1,,,
Brewery,6,8,4,2,4,2,,T,14,8,6,,,
Ganny,1,14,3,1,0,0,,,,,,,,
Rooftop,5,9,4,1,4,2,,Games played:,18,/18,,,,
Memento,4,5,9,0,4,2,,,,,,,,
,,,,,,,,,,,,,,
Win/Loss,Adam,Andrew,Brian,Dan,Emanuel,Keng,Sean,Tim,Zach,,,,,
Adam,,,,,,,,,,,,,,
Andrew,,,,,,,,,,,,,,
Brian,,,,,,,,,,,,,,
Dan,,,,,,,,,,,,,,
Emanuel,,,,,,,,,,,,,,
Keng,,,,,,,,,,,,,,
Sean,,,,,,,,,,,,,,
Tim,,,,,,,,,,,,,,
Zach,,,,,,,,,,,,,,
